"Data Source","World Development Indicators",

"Last Updated Date","2025-01-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.0900001525879","","","","","","","","","55.9900016784668","","","","","","","","","","60.7700004577637","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","","","","","","","","","","","","","","","","4.09999990463257","","","","4.15000009536743","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.9864730834961","13.1258096694946","","16.0005588531494","","","16.7799663543701","11.6300001144409","15.3429203033447","",
"Africa Western and Central","AFW","Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.8684597015381","","","28.9200000762939","27.9697608947754","","","","38.4699325561523","","39.9778861999512","","",
"Albania","ALB","Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75.7300033569336","","","","","","","81.7300033569336","","83.5399932861328","85.2300033569336","87.2099990844727","86.9020080566406","87.4635696411133","88.6462173461914","89.3892822265625","83.5595169067383","90.2688522338867","90.7103652954102","","91.8594970703125","92.1410675048828","",
"Andorra","AND","Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72.8399963378906","72.5","72.3300018310547","","","","","","83.1600036621094","",
"Arab World","ARB","Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","","","","","","","","","","","","","","","","22.6700000762939","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62.7000007629395","","","","","","","","","","","70.7099990844727","78.9899978637695","82.8899993896484","84.1699981689453","","84.4300003051758","85.4800033569336","",
"Argentina","ARG","Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","","","","","","","","","","","19.2999992370605","","","","","","","","","","26.5","","","","","","","","","","","37.3600006103516","","","","","","","","","","45.8899993896484","","56.3800010681152","","","","","","","","","","","","","","","","","","","","",
"Armenia","ARM","Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91.0800018310547","","","","","","","","","98.2492752075195","96.5999984741211","98.8103332519531","99.0524444580078","99.1540679931641","97.2200012207031","88.7732009887695","96.5899963378906","99.4843444824219","99.6308898925781","96.4700012207031","99.1356735229492","99.1877365112305","",
"American Samoa","ASM","Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","","","","","","","","","","","","","","","68.3399963378906","","","","","","64.1999969482422","","","","","","","","","","81.3000030517578","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82.5654907226562","","",
"Australia","AUS","Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","","","","","","","","","","","","69.8000030517578","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89.7399978637695","90.8499984741211","91.1399993896484","91.7200012207031","92.3300018310547","92.2399978637695","93.1999969482422","93.6100006103516","94.4499969482422","91.0800018310547","91.8300018310547","92.6500015258789","92.7600021362305","93.0100021362305","93.4400024414062","93.9499969482422","94.5100021362305","94.5500030517578","95.0199966430664","92.864372253418",
"Austria","AUT","Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.2569732666016","99.159309387207","99.1603012084961","99.2856521606445","99.5500030517578","98.9923782348633","98.9686431884766","99.0294952392578","98.932014465332","98.8267288208008","98.95654296875","98.7793884277344","98.8794631958008","98.8269500732422",
"Azerbaijan","AZE","Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92.8399963378906","","","","","","","","95.3300018310547","95.4100036621094","95.4700012207031","95.5699996948242","95.5599975585938","95.5699996948242","95.5999984741211","95.6100006103516","95.6100006103516","95.6399993896484","95.5199966430664","95.4899978637695","95.5199966430664","","98.2327194213867","98.6476593017578","98.1900024414062",
"Burundi","BDI","Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.11999988555908","","","","","","","","","","","","","","","","","","10.7299995422363","","","","","","5.92999982833862","","","9.27999973297119","","","","","","",
"Belgium","BEL","Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","","","","","","","","","","","33.8699989318848","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76.7900009155273","","78.3199996948242","79.4300003051758","79.6399993896484","80.0999984741211","80.2900009155273","81.5899963378906","82.3399963378906","84.3600006103516","84.7900009155273","86.5","87.6263275146484","88.4300003051758","89.1208648681641","89.246940612793","89.5966262817383","",
"Benin","BEN","Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","","","","","","","","","","","","","","","","","","","","2.5","","","","","","","","","","","","","9.5600004196167","","","","","","","","","","14.3199996948242","","","","","","","","","","","","","","","10.3627195358276","16.142448425293","14.0790596008301","","13.4002103805542","22.1089344024658","",
"Burkina Faso","BFA","Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.94000005722046","2.03999996185303","","","","","","","8.48999977111816","","","","12.6700000762939","14","","11.4534101486206","12.9044046401978","9.92470169067383",
"Bangladesh","BGD","Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","","","","","","","","","","","","","","","7.69999980926514","","","","","","","12.8599996566772","","","","","","","","","","","","","","","","","","","","26.7099990844727","","","","","","","","","","35.2999992370605","36.0499992370605","33.7099990844727","34.9199981689453","40.8400001525879","41.5","42.6199989318848","43.6399993896484","44.6800003051758","","48.6500015258789","45.6067848205566","",
"Bulgaria","BGR","Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50.7599983215332","","","","","","","","","87.8600006103516","","","","","91.25","91.9700012207031","92.1600036621094","92.5800018310547","93.2200012207031","93.7399978637695","94.3000030517578","94.3300018310547","94.25","94.8199996948242","95.1399993896484","95.3899993896484","95.4031372070312","95.5573577880859","95.6699981689453","95.9116287231445","96.3750305175781","",
"Bahrain","BHR","Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","","","","","","","","","","","","12.9799995422363","","","","","","","","","","","","","","","","","","","","35.4000015258789","","","","","","","","","","68.3399963378906","","","","","","","","","54.9000015258789","","","","","","69.2200012207031","72.3499984741211","79.9400024414062","","82.0500030517578","","83.0299987792969","82.8600006103516",
"Bahamas, The","BHS","Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71.1999969482422","","","","","","","","","","90.1100006103516","","","","","","","","","","89.1399993896484","","","","","","","","","92.2605590820312","","","","94.5745544433594",
"Bosnia and Herzegovina","BIH","Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56.9199981689453","56.8300018310547","70.1662979125977","71.2805709838867","","60.898494720459","81.1699981689453","62.3061218261719","81.3600006103516","63.3923149108887","88.1699981689453","71.6507415771484","91.0299987792969","72.2685699462891",
"Belarus","BLR","Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58.2099990844727","","","","","","","","","","","","","","","","","","","","91.4100036621094","","","","","","","","","","98.1699981689453","","","","",
